Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/vss/v2/validate,548584,0,99,107.79842284864306,30,4581,5087.240251265075,910.0773612035289,0.0,99,110,120,120,150,170,230,400,740,1100,4600
,Aggregated,548584,0,99,107.79842284864306,30,4581,5087.240251265075,910.0773612035289,0.0,99,110,120,120,150,170,230,400,740,1100,4600
