Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/vss/v2/validate,1527015,0,24,26.451699557633685,2,5199,5133.476885950695,2539.772806758581,0.0,24,28,30,32,37,44,57,74,170,2300,5200
,Aggregated,1527015,0,24,26.451699557633685,2,5199,5133.476885950695,2539.772806758581,0.0,24,28,30,32,37,44,57,74,170,2300,5200
